Trip Id,Trip  Duration,Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type
20354842,754,7191,02/01/2023 00:06,Central Tech  (Harbord St),7073,02/01/2023 00:19,Spadina Ave / Fort York Blvd,2812,Casual Member
20354845,567,7102,02/01/2023 00:09,Nelson St / Duncan St,7037,02/01/2023 00:18,Bathurst St / Dundas St W,6279,Annual Member
20354850,271,7668,02/01/2023 00:12,Simcoe St / Dundas St W - SMART,7248,02/01/2023 00:16,Baldwin Ave / Spadina Ave - SMART,4436,Casual Member
20354997,1054,7006,02/01/2023 03:38,Bay St / College St (East Side),7208,02/01/2023 03:55,80 Clinton St (North of College),2249,Casual Member
20355011,178,7129,02/01/2023 04:01,Davenport Rd / Avenue Rd,7494,02/01/2023 04:04,Davenport Rd / McAlpine St - SMART,911,Casual Member
20355091,170,7161,02/01/2023 05:24,Beverley St / College St,7027,02/01/2023 05:27,Beverley  St / Dundas St W,4583,Casual Member
20355119,265,7148,02/01/2023 05:50,King St W / Joe Shuster Way,7451,02/01/2023 05:54,Western Battery Rd / Pirandello St,3661,Annual Member
20355139,1060,7124,02/01/2023 06:07,Dundas St E / Broadview Ave,7033,02/01/2023 06:25,Union Station,2657,Casual Member
20355141,292,7324,02/01/2023 06:09,King St W / Charlotte St (West Side),7033,02/01/2023 06:14,Union Station,6107,Casual Member
20355172,537,7054,02/01/2023 06:28,Navy Wharf Ct. / Bremner Blvd.,7047,02/01/2023 06:37,University Ave / Gerrard St W (East Side),3198,Casual Member
20355192,378,7336,02/01/2023 06:42,Queen St E / Alton Av,7103,02/01/2023 06:49,Jimmie Simpson Park (Queen St E),1451,Casual Member
20355236,995,7656,02/01/2023 06:58,Bloor St W / Brock Ave,7142,02/01/2023 07:15,Bridgeman Ave / Bathurst St,5206,Casual Member
20355254,919,7033,02/01/2023 07:05,Union Station,7332,02/01/2023 07:20,200 Bloor St. E.,7174,Casual Member
20355272,542,7263,02/01/2023 07:09,Walton St / Elizabeth St - SMART,7199,02/01/2023 07:18,College St / Markham St,7061,Annual Member
20355334,209,7021,02/01/2023 07:25,Bay St / Albert St,7006,02/01/2023 07:28,Bay St / College St (East Side),7239,Annual Member
20355354,1963,7090,02/01/2023 07:29,Danforth Ave / Lamb Ave,7263,02/01/2023 08:02,Walton St / Elizabeth St - SMART,1664,Casual Member
20355407,1220,7194,02/01/2023 07:38,Mortimer Ave / Coxwell Ave,7663,02/01/2023 07:58,Kilgour Rd / Rumsey Rd,7122,Casual Member
20355446,304,7089,02/01/2023 07:43,Church St  / Wood St,7274,02/01/2023 07:48,Queen's Park Cres E / Grosvenor St - SMART,5295,Casual Member
20355482,405,7264,02/01/2023 07:50,Bloor St E / Huntley St - SMART,7079,02/01/2023 07:56,McGill St / Church St,5714,Annual Member
20355520,279,7202,02/01/2023 07:55,Queen St W / York St (City Hall),7004,02/01/2023 08:00,University Ave / Elm St,4786,Casual Member
20355531,784,7411,02/01/2023 07:57,Little Norway Park,7005,02/01/2023 08:10,King St W / York St,2182,Casual Member
20355538,352,7089,02/01/2023 07:58,Church St  / Wood St,7034,02/01/2023 08:04,Church St / Bloor St E,729,Annual Member
20355598,751,7139,02/01/2023 08:09,Glen Edyth Dr / Davenport Rd,7647,02/01/2023 08:22,Elm St/ University Ave (East Side),2211,Annual Member
20355696,516,7033,02/01/2023 08:22,Union Station,7399,02/01/2023 08:30,Lower Jarvis / Queens Quay E,2603,Annual Member
20355698,663,7531,02/01/2023 08:22,541 Huron St - SMART,7162,02/01/2023 08:33,Hayter St / Laplante Ave,6058,Annual Member
20355706,940,7458,02/01/2023 08:23,Church St / Lombard St,7600,02/01/2023 08:39,Russell St / Huron St - SMART,5407,Annual Member
20355780,1543,7508,02/01/2023 08:32,Berkeley St / Dundas St E - SMART,7260,02/01/2023 08:58,Spadina Ave / Adelaide St W,2042,Casual Member
20355784,681,7506,02/01/2023 08:33,Berkeley St / Adelaide St E - SMART,7047,02/01/2023 08:44,University Ave / Gerrard St W (East Side),4768,Casual Member
20355827,879,7259,02/01/2023 08:36,Lower Spadina Ave / Lake Shore Blvd,7492,02/01/2023 08:51,324 Cherry St,3428,Casual Member
20355829,234,7059,02/01/2023 08:36,Front St W / Blue Jays Way,7033,02/01/2023 08:40,Union Station,2262,Casual Member
20355854,364,7006,02/01/2023 08:39,Bay St / College St (East Side),7190,02/01/2023 08:45,St. George St / Hoskin Ave,7239,Casual Member
20355858,997,7097,02/01/2023 08:39,Riverdale Park North (Broadview Ave),7251,02/01/2023 08:56,The Royal Ontario Museum (Bloor St Entrance),2495,Casual Member
20355867,876,7570,02/01/2023 08:40,Carlaw Ave / Dundas St E,7432,02/01/2023 08:54,Frederick St / King St E,6525,Annual Member
20355878,1542,7662,02/01/2023 08:41,Beaty Ave / Queen St W,7224,02/01/2023 09:06,Bloor St W / High Park Ave (High Park),5025,Casual Member
20355884,614,7416,02/01/2023 08:42,Spadina Ave / Blue Jays Way,7547,02/01/2023 08:52,Orde St / McCaul St,1568,Casual Member
20355888,550,7153,02/01/2023 08:42,Bloor St W / Christie St,7204,02/01/2023 08:51,College St / Crawford St,2396,Casual Member
20355934,482,7508,02/01/2023 08:45,Berkeley St / Dundas St E - SMART,7599,02/01/2023 08:53,Richmond St W / York St,167,Casual Member
20355943,630,7725,02/01/2023 08:46,NULL,7030,02/01/2023 08:56,Bay St / Wellesley St W,4847,Casual Member
20356000,445,7298,02/01/2023 08:50,Bathurst St / Adelaide St W,7284,02/01/2023 08:57,University Ave / King St W - SMART,281,Casual Member
20356019,150,7263,02/01/2023 08:52,Walton St / Elizabeth St - SMART,7038,02/01/2023 08:55,Dundas St W / Yonge St,5962,Casual Member
20356031,341,7720,02/01/2023 08:53,NULL,7005,02/01/2023 08:59,King St W / York St,3646,Casual Member
20356032,2233,7575,02/01/2023 08:53,Bayview Ave / Lawren Harris Square,7101,02/01/2023 09:31,Lower Sherbourne St / The Esplanade,5573,Annual Member
20356065,672,7332,02/01/2023 08:57,200 Bloor St. E.,7235,02/01/2023 09:08,Bay St / College St (West Side) - SMART,7174,Annual Member
20356112,605,7383,02/01/2023 09:00,12 Harbour St,7489,02/01/2023 09:10,Sumach St  / Queen St E,5305,Annual Member
20356133,128,7099,02/01/2023 09:02,Cherry St / Mill St,7299,02/01/2023 09:04,Mill St / Parliament St,3836,Annual Member
20356139,569,7531,02/01/2023 09:02,541 Huron St - SMART,7634,02/01/2023 09:12,University Ave / Gerrard St W (WEST) - SMART,3684,Annual Member
20356175,1149,7000,02/01/2023 09:06,Fort York  Blvd / Capreol Ct,7104,02/01/2023 09:25,King St E / River St,4504,Annual Member
20356186,1499,7376,02/01/2023 09:07,Frobisher Ave / Lascelles Blvd,7052,02/01/2023 09:32,Wellington St W / Bay St,6461,Casual Member
20356204,590,7085,02/01/2023 09:09,Danforth Ave / Westlake Ave,7610,02/01/2023 09:19,Kingston Rd / Beech Ave,6144,Casual Member
20356247,602,7683,02/01/2023 09:14,NULL,7545,02/01/2023 09:24,Baldwin St / Henry St,7096,Annual Member
20356258,666,7719,02/01/2023 09:17,NULL,7052,02/01/2023 09:28,Wellington St W / Bay St,4746,Annual Member
20356282,382,7406,02/01/2023 09:20,Victoria St / Queen St E,7542,02/01/2023 09:26,Queen St W / John St,7152,Casual Member
20356327,614,7693,02/01/2023 09:24,NULL,7053,02/01/2023 09:35,Metro Hall Plaza,843,Annual Member
20356340,313,7280,02/01/2023 09:25,Charles St E / Jarvis St - SMART,7724,02/01/2023 09:30,NULL,6055,Casual Member
20356341,571,7099,02/01/2023 09:25,Cherry St / Mill St,7283,02/01/2023 09:35,Front St W / Bay St (South Side),5973,Casual Member
20356409,2677,7101,02/01/2023 09:32,Lower Sherbourne St / The Esplanade,7575,02/01/2023 10:17,Bayview Ave / Lawren Harris Square,5573,Annual Member
20356414,370,7078,02/01/2023 09:33,College St / Major St,7217,02/01/2023 09:39,Soho St / Queen St W,1263,Annual Member
20356507,269,7720,02/01/2023 09:49,NULL,7020,02/01/2023 09:53,Phoebe St / Spadina Ave,5786,Casual Member
20356514,737,7260,02/01/2023 09:50,Spadina Ave / Adelaide St W,7235,02/01/2023 10:02,Bay St / College St (West Side) - SMART,4085,Casual Member
20356572,432,7100,02/01/2023 09:56,Dundas St E / Regent Park Blvd,7050,02/01/2023 10:03,Richmond St E / Jarvis St Green P,313,Casual Member
20356598,205,7285,02/01/2023 09:59,Spadina Ave / Harbord St - SMART,7457,02/01/2023 10:03,Queen's Park Cres W / Hoskin Ave,5354,Annual Member
20356616,575,7189,02/01/2023 10:02,Augusta Ave / Denison Sq,7391,02/01/2023 10:11,Yonge St / Dundas Sq,2204,Casual Member
20356633,495,7292,02/01/2023 10:04,Granby St / Church St - SMART,7657,02/01/2023 10:12,1 Market St - SMART,205,Annual Member
20356692,489,7385,02/01/2023 10:12,20 Charles St E,7285,02/01/2023 10:20,Spadina Ave / Harbord St - SMART,7127,Casual Member
20356752,150,7706,02/01/2023 10:26,NULL,7090,02/01/2023 10:28,Danforth Ave / Lamb Ave,4936,Casual Member
20356802,524,7097,02/01/2023 10:38,Riverdale Park North (Broadview Ave),7031,02/01/2023 10:47,Jarvis St / Isabella St,7089,Casual Member
20356874,505,7417,02/01/2023 10:50,King St W / Jordan St,7720,02/01/2023 10:59,NULL,1660,Annual Member
20356890,408,7270,02/01/2023 10:52,Church St / Dundas St E - SMART,7634,02/01/2023 10:59,University Ave / Gerrard St W (WEST) - SMART,6297,Casual Member
20357002,406,7545,02/01/2023 11:12,Baldwin St / Henry St,7002,02/01/2023 11:19,St. George St / Bloor St W,1752,Casual Member
20357005,452,7161,02/01/2023 11:12,Beverley St / College St,7002,02/01/2023 11:20,St. George St / Bloor St W,5197,Casual Member
20357015,347,7191,02/01/2023 11:14,Central Tech  (Harbord St),7239,02/01/2023 11:20,Bloor St W / Manning Ave - SMART,3967,Casual Member
20357087,704,7642,02/01/2023 11:34,Yonge St / St Clair Ave,7138,02/01/2023 11:46,Davenport Rd / Christie St,7245,Casual Member
20357110,560,7108,02/01/2023 11:37,Front St E / Cherry St,7045,02/01/2023 11:47,Bond St / Queen St E,1378,Annual Member
